liker_index,indexed_at,hours_since_post,collected_at
178,2026-03-19 19:31:15.215000+00:00,0.20819888888888888,2026-06-10T11:00:20+00:00
179,2026-03-19 19:31:15.373000+00:00,0.20824277777777778,2026-06-10T11:00:20+00:00
180,2026-03-19 19:31:16.028000+00:00,0.20842472222222222,2026-06-10T11:00:20+00:00
181,2026-03-19 19:31:18.250000+00:00,0.20904194444444446,2026-06-10T11:00:20+00:00
182,2026-03-19 19:31:19.049000+00:00,0.2092638888888889,2026-06-10T11:00:20+00:00
183,2026-03-19 19:31:23.666000+00:00,0.21054638888888888,2026-06-10T11:00:20+00:00
184,2026-03-19 19:31:24.618000+00:00,0.21081083333333334,2026-06-10T11:00:20+00:00
185,2026-03-19 19:31:25.971000+00:00,0.2111866666666667,2026-06-10T11:00:20+00:00
186,2026-03-19 19:31:28.485000+00:00,0.211885,2026-06-10T11:00:20+00:00
187,2026-03-19 19:31:33.357000+00:00,0.21323833333333334,2026-06-10T11:00:20+00:00
188,2026-03-19 19:31:36.798000+00:00,0.21419416666666669,2026-06-10T11:00:20+00:00
189,2026-03-19 19:31:37.679000+00:00,0.2144388888888889,2026-06-10T11:00:20+00:00
190,2026-03-19 19:31:40.025000+00:00,0.21509055555555556,2026-06-10T11:00:20+00:00
191,2026-03-19 19:31:43.064000+00:00,0.21593472222222224,2026-06-10T11:00:20+00:00
192,2026-03-19 19:31:44.148000+00:00,0.21623583333333332,2026-06-10T11:00:20+00:00
193,2026-03-19 19:31:44.360000+00:00,0.2162947222222222,2026-06-10T11:00:20+00:00
194,2026-03-19 19:31:50.371000+00:00,0.21796444444444446,2026-06-10T11:00:20+00:00
195,2026-03-19 19:31:50.891000+00:00,0.21810888888888888,2026-06-10T11:00:20+00:00
196,2026-03-19 19:31:56.807000+00:00,0.2197522222222222,2026-06-10T11:00:20+00:00
197,2026-03-19 19:31:58.551000+00:00,0.22023666666666666,2026-06-10T11:00:20+00:00
198,2026-03-19 19:32:05.560000+00:00,0.2221836111111111,2026-06-10T11:00:20+00:00
199,2026-03-19 19:32:06.958000+00:00,0.22257194444444445,2026-06-10T11:00:20+00:00
200,2026-03-19 19:32:07.210000+00:00,0.22264194444444443,2026-06-10T11:00:20+00:00
201,2026-03-19 19:32:07.260000+00:00,0.22265583333333333,2026-06-10T11:00:20+00:00
202,2026-03-19 19:32:10.211000+00:00,0.22347555555555554,2026-06-10T11:00:20+00:00
203,2026-03-19 19:32:14.709000+00:00,0.224725,2026-06-10T11:00:20+00:00
204,2026-03-19 19:32:18.296000+00:00,0.22572138888888887,2026-06-10T11:00:20+00:00
205,2026-03-19 19:32:19.827000+00:00,0.2261466666666667,2026-06-10T11:00:20+00:00
206,2026-03-19 19:32:20.304000+00:00,0.22627916666666667,2026-06-10T11:00:20+00:00
207,2026-03-19 19:32:23.256000+00:00,0.22709916666666666,2026-06-10T11:00:20+00:00
208,2026-03-19 19:32:24.027000+00:00,0.22731333333333334,2026-06-10T11:00:20+00:00
209,2026-03-19 19:32:24.975000+00:00,0.22757666666666665,2026-06-10T11:00:20+00:00
210,2026-03-19 19:32:26.572000+00:00,0.22802027777777778,2026-06-10T11:00:20+00:00
211,2026-03-19 19:32:30.463000+00:00,0.22910111111111112,2026-06-10T11:00:20+00:00
212,2026-03-19 19:32:30.901000+00:00,0.22922277777777778,2026-06-10T11:00:20+00:00
213,2026-03-19 19:32:34.153000+00:00,0.2301261111111111,2026-06-10T11:00:20+00:00
214,2026-03-19 19:32:34.550000+00:00,0.2302363888888889,2026-06-10T11:00:20+00:00
215,2026-03-19 19:32:39.961000+00:00,0.23173944444444444,2026-06-10T11:00:20+00:00
216,2026-03-19 19:32:44.157000+00:00,0.232905,2026-06-10T11:00:20+00:00
217,2026-03-19 19:32:49.252000+00:00,0.23432027777777778,2026-06-10T11:00:20+00:00
218,2026-03-19 19:32:52.594000+00:00,0.23524861111111112,2026-06-10T11:00:20+00:00
219,2026-03-19 19:32:55.737000+00:00,0.23612166666666667,2026-06-10T11:00:20+00:00
220,2026-03-19 19:32:58.983000+00:00,0.23702333333333334,2026-06-10T11:00:20+00:00
221,2026-03-19 19:33:01.127000+00:00,0.23761888888888888,2026-06-10T11:00:20+00:00
222,2026-03-19 19:33:01.931000+00:00,0.2378422222222222,2026-06-10T11:00:20+00:00
223,2026-03-19 19:33:03.512000+00:00,0.2382813888888889,2026-06-10T11:00:20+00:00
224,2026-03-19 19:33:04.045000+00:00,0.23842944444444444,2026-06-10T11:00:20+00:00
225,2026-03-19 19:33:09.785000+00:00,0.2400238888888889,2026-06-10T11:00:20+00:00
226,2026-03-19 19:33:10.554000+00:00,0.2402375,2026-06-10T11:00:20+00:00
227,2026-03-19 19:33:11.481000+00:00,0.24049500000000001,2026-06-10T11:00:20+00:00
228,2026-03-19 19:33:14.687000+00:00,0.24138555555555558,2026-06-10T11:00:20+00:00
229,2026-03-19 19:33:17.759000+00:00,0.24223888888888886,2026-06-10T11:00:20+00:00
230,2026-03-19 19:33:19.948000+00:00,0.24284694444444446,2026-06-10T11:00:20+00:00
231,2026-03-19 19:33:22.664000+00:00,0.2436013888888889,2026-06-10T11:00:20+00:00
232,2026-03-19 19:33:28.853000+00:00,0.24532055555555554,2026-06-10T11:00:20+00:00
233,2026-03-19 19:33:31.726000+00:00,0.24611861111111114,2026-06-10T11:00:20+00:00
234,2026-03-19 19:33:33.246000+00:00,0.24654083333333335,2026-06-10T11:00:20+00:00
235,2026-03-19 19:33:38.553000+00:00,0.248015,2026-06-10T11:00:20+00:00
236,2026-03-19 19:33:40.986000+00:00,0.24869083333333333,2026-06-10T11:00:20+00:00
237,2026-03-19 19:33:43.230000+00:00,0.24931416666666664,2026-06-10T11:00:20+00:00
238,2026-03-19 19:33:46.254000+00:00,0.2501541666666667,2026-06-10T11:00:20+00:00
239,2026-03-19 19:33:47.596000+00:00,0.25052694444444445,2026-06-10T11:00:20+00:00
240,2026-03-19 19:33:48.021000+00:00,0.250645,2026-06-10T11:00:20+00:00
241,2026-03-19 19:33:52.761000+00:00,0.2519616666666667,2026-06-10T11:00:20+00:00
242,2026-03-19 19:34:02.510000+00:00,0.25466972222222223,2026-06-10T11:00:20+00:00
243,2026-03-19 19:34:07.306000+00:00,0.25600194444444446,2026-06-10T11:00:20+00:00
244,2026-03-19 19:34:09.954000+00:00,0.2567375,2026-06-10T11:00:20+00:00
245,2026-03-19 19:34:13.872000+00:00,0.2578258333333333,2026-06-10T11:00:20+00:00
246,2026-03-19 19:34:14.937000+00:00,0.2581216666666667,2026-06-10T11:00:20+00:00
247,2026-03-19 19:34:21.327000+00:00,0.25989666666666666,2026-06-10T11:00:20+00:00
248,2026-03-19 19:34:25.678000+00:00,0.2611052777777778,2026-06-10T11:00:20+00:00
249,2026-03-19 19:34:39.196000+00:00,0.26486027777777776,2026-06-10T11:00:20+00:00
250,2026-03-19 19:34:39.827000+00:00,0.2650355555555556,2026-06-10T11:00:20+00:00
